EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,DEPARTMENT_NAME,MANAGER_ID,LOCATION_ID
100,Steven,King,SKING,515.123.4567,6/17/1987,AD_PRES,24000,0,0,90,Executive,100,1700
101,Neena,Kochhar,NKOCHHAR,515.123.4568,6/18/1987,AD_VP,17000,0,100,90,Executive,100,1700
102,Lex,De Haan,LDEHAAN,515.123.4569,6/19/1987,AD_VP,17000,0,100,90,Executive,100,1700
103,Alexander,Hunold,AHUNOLD,590.423.4567,6/20/1987,IT_PROG,9000,0,102,60,IT,103,1400
104,Bruce,Ernst,BERNST,590.423.4568,6/21/1987,IT_PROG,6000,0,103,60,IT,103,1400
105,David,Austin,DAUSTIN,590.423.4569,6/22/1987,IT_PROG,4800,0,103,60,IT,103,1400
106,Valli,Pataballa,VPATABAL,590.423.4560,6/23/1987,IT_PROG,4800,0,103,60,IT,103,1400
107,Diana,Lorentz,DLORENTZ,590.423.5567,6/24/1987,IT_PROG,4200,0,103,60,IT,103,1400
108,Nancy,Greenberg,NGREENBE,515.124.4569,6/25/1987,FI_MGR,12000,0,101,100,Finance,108,1700
109,Daniel,Faviet,DFAVIET,515.124.4169,6/26/1987,FI_ACCOUNT,9000,0,108,100,Finance,108,1700
110,John,Chen,JCHEN,515.124.4269,6/27/1987,FI_ACCOUNT,8200,0,108,100,Finance,108,1700
111,Ismael,Sciarra,ISCIARRA,515.124.4369,6/28/1987,FI_ACCOUNT,7700,0,108,100,Finance,108,1700
112,Jose Manuel,Urman,JMURMAN,515.124.4469,6/29/1987,FI_ACCOUNT,7800,0,108,100,Finance,108,1700
113,Luis,Popp,LPOPP,515.124.4567,6/30/1987,FI_ACCOUNT,6900,0,108,100,Finance,108,1700
114,Den,Raphaely,DRAPHEAL,515.127.4561,7/1/1987,PU_MAN,11000,0,100,30,Purchasing,114,1700
115,Alexander,Khoo,AKHOO,515.127.4562,7/2/1987,PU_CLERK,3100,0,114,30,Purchasing,114,1700
116,Shelli,Baida,SBAIDA,515.127.4563,7/3/1987,PU_CLERK,2900,0,114,30,Purchasing,114,1700
117,Sigal,Tobias,STOBIAS,515.127.4564,7/4/1987,PU_CLERK,2800,0,114,30,Purchasing,114,1700
118,Guy,Himuro,GHIMURO,515.127.4565,7/5/1987,PU_CLERK,2600,0,114,30,Purchasing,114,1700
119,Karen,Colmenares,KCOLMENA,515.127.4566,7/6/1987,PU_CLERK,2500,0,114,30,Purchasing,114,1700
120,Matthew,Weiss,MWEISS,650.123.1234,7/7/1987,ST_MAN,8000,0,100,50,Shipping,121,1500
121,Adam,Fripp,AFRIPP,650.123.2234,7/8/1987,ST_MAN,8200,0,100,50,Shipping,121,1500
122,Payam,Kaufling,PKAUFLIN,650.123.3234,7/9/1987,ST_MAN,7900,0,100,50,Shipping,121,1500
123,Shanta,Vollman,SVOLLMAN,650.123.4234,7/10/1987,ST_MAN,6500,0,100,50,Shipping,121,1500
124,Kevin,Mourgos,KMOURGOS,650.123.5234,7/11/1987,ST_MAN,5800,0,100,50,Shipping,121,1500
125,Julia,Nayer,JNAYER,650.124.1214,7/12/1987,ST_CLERK,3200,0,120,50,Shipping,121,1500
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,7/13/1987,ST_CLERK,2700,0,120,50,Shipping,121,1500
127,James,Landry,JLANDRY,650.124.1334,7/14/1987,ST_CLERK,2400,0,120,50,Shipping,121,1500
128,Steven,Markle,SMARKLE,650.124.1434,7/15/1987,ST_CLERK,2200,0,120,50,Shipping,121,1500
129,Laura,Bissot,LBISSOT,650.124.5234,7/16/1987,ST_CLERK,3300,0,121,50,Shipping,121,1500
130,Mozhe,Atkinson,MATKINSO,650.124.6234,7/17/1987,ST_CLERK,2800,0,121,50,Shipping,121,1500
131,James,Marlow,JAMRLOW,650.124.7234,7/18/1987,ST_CLERK,2500,0,121,50,Shipping,121,1500
132,TJ,Olson,TJOLSON,650.124.8234,7/19/1987,ST_CLERK,2100,0,121,50,Shipping,121,1500
133,Jason,Mallin,JMALLIN,650.127.1934,7/20/1987,ST_CLERK,3300,0,122,50,Shipping,121,1500
134,Michael,Rogers,MROGERS,650.127.1834,7/21/1987,ST_CLERK,2900,0,122,50,Shipping,121,1500
135,Ki,Gee,KGEE,650.127.1734,7/22/1987,ST_CLERK,2400,0,122,50,Shipping,121,1500
136,Hazel,Philtanker,HPHILTAN,650.127.1634,7/23/1987,ST_CLERK,2200,0,122,50,Shipping,121,1500
137,Renske,Ladwig,RLADWIG,650.121.1234,7/24/1987,ST_CLERK,3600,0,123,50,Shipping,121,1500
138,Stephen,Stiles,SSTILES,650.121.2034,7/25/1987,ST_CLERK,3200,0,123,50,Shipping,121,1500
139,John,Seo,JSEO,650.121.2019,7/26/1987,ST_CLERK,2700,0,123,50,Shipping,121,1500
140,Joshua,Patel,JPATEL,650.121.1834,7/27/1987,ST_CLERK,2500,0,123,50,Shipping,121,1500
141,Trenna,Rajs,TRAJS,650.121.8009,7/28/1987,ST_CLERK,3500,0,124,50,Shipping,121,1500
142,Curtis,Davies,CDAVIES,650.121.2994,7/29/1987,ST_CLERK,3100,0,124,50,Shipping,121,1500
143,Randall,Matos,RMATOS,650.121.2874,7/30/1987,ST_CLERK,2600,0,124,50,Shipping,121,1500
144,Peter,Vargas,PVARGAS,650.121.2004,7/31/1987,ST_CLERK,2500,0,124,50,Shipping,121,1500
145,John,Russell,JRUSSEL,011.44.1344.429268,8/1/1987,SA_MAN,14000,0.4,100,80,Sales,145,2500
146,Karen,Partners,KPARTNER,011.44.1344.467268,8/2/1987,SA_MAN,13500,0.3,100,80,Sales,145,2500
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,8/3/1987,SA_MAN,12000,0.3,100,80,Sales,145,2500
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,8/4/1987,SA_MAN,11000,0.3,100,80,Sales,145,2500
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,8/5/1987,SA_MAN,10500,0.2,100,80,Sales,145,2500
150,Peter,Tucker,PTUCKER,011.44.1344.129268,8/6/1987,SA_REP,10000,0.3,145,80,Sales,145,2500
151,David,Bernstein,DBERNSTE,011.44.1344.345268,8/7/1987,SA_REP,9500,0.25,145,80,Sales,145,2500
152,Peter,Hall,PHALL,011.44.1344.478968,8/8/1987,SA_REP,9000,0.25,145,80,Sales,145,2500
153,Christopher,Olsen,COLSEN,011.44.1344.498718,8/9/1987,SA_REP,8000,0.2,145,80,Sales,145,2500
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,8/10/1987,SA_REP,7500,0.2,145,80,Sales,145,2500
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,8/11/1987,SA_REP,7000,0.15,145,80,Sales,145,2500
156,Janette,King,JKING,011.44.1345.429268,8/12/1987,SA_REP,10000,0.35,146,80,Sales,145,2500
157,Patrick,Sully,PSULLY,011.44.1345.929268,8/13/1987,SA_REP,9500,0.35,146,80,Sales,145,2500
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,8/14/1987,SA_REP,9000,0.35,146,80,Sales,145,2500
159,Lindsey,Smith,LSMITH,011.44.1345.729268,8/15/1987,SA_REP,8000,0.3,146,80,Sales,145,2500
160,Louise,Doran,LDORAN,011.44.1345.629268,8/16/1987,SA_REP,7500,0.3,146,80,Sales,145,2500
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,8/17/1987,SA_REP,7000,0.25,146,80,Sales,145,2500
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,8/18/1987,SA_REP,10500,0.25,147,80,Sales,145,2500
163,Danielle,Greene,DGREENE,011.44.1346.229268,8/19/1987,SA_REP,9500,0.15,147,80,Sales,145,2500
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,8/20/1987,SA_REP,7200,0.1,147,80,Sales,145,2500
165,David,Lee,DLEE,011.44.1346.529268,8/21/1987,SA_REP,6800,0.1,147,80,Sales,145,2500
166,Sundar,Ande,SANDE,011.44.1346.629268,8/22/1987,SA_REP,6400,0.1,147,80,Sales,145,2500
167,Amit,Banda,ABANDA,011.44.1346.729268,8/23/1987,SA_REP,6200,0.1,147,80,Sales,145,2500
168,Lisa,Ozer,LOZER,011.44.1343.929268,8/24/1987,SA_REP,11500,0.25,148,80,Sales,145,2500
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,8/25/1987,SA_REP,10000,0.2,148,80,Sales,145,2500
170,Tayler,Fox,TFOX,011.44.1343.729268,8/26/1987,SA_REP,9600,0.2,148,80,Sales,145,2500
171,William,Smith,WSMITH,011.44.1343.629268,8/27/1987,SA_REP,7400,0.15,148,80,Sales,145,2500
172,Elizabeth,Bates,EBATES,011.44.1343.529268,8/28/1987,SA_REP,7300,0.15,148,80,Sales,145,2500
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,8/29/1987,SA_REP,6100,0.1,148,80,Sales,145,2500
174,Ellen,Abel,EABEL,011.44.1644.429267,8/30/1987,SA_REP,11000,0.3,149,80,Sales,145,2500
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,8/31/1987,SA_REP,8800,0.25,149,80,Sales,145,2500
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,9/1/1987,SA_REP,8600,0.2,149,80,Sales,145,2500
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,9/2/1987,SA_REP,8400,0.2,149,80,Sales,145,2500
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,9/4/1987,SA_REP,6200,0.1,149,80,Sales,145,2500
180,Winston,Taylor,WTAYLOR,650.507.9876,9/5/1987,SH_CLERK,3200,0,120,50,Shipping,121,1500
181,Jean,Fleaur,JFLEAUR,650.507.9877,9/6/1987,SH_CLERK,3100,0,120,50,Shipping,121,1500
182,Martha,Sullivan,MSULLIVA,650.507.9878,9/7/1987,SH_CLERK,2500,0,120,50,Shipping,121,1500
183,Girard,Geoni,GGEONI,650.507.9879,9/8/1987,SH_CLERK,2800,0,120,50,Shipping,121,1500
184,Nandita,Sarchand,NSARCHAN,650.509.1876,9/9/1987,SH_CLERK,4200,0,121,50,Shipping,121,1500
185,Alexis,Bull,ABULL,650.509.2876,9/10/1987,SH_CLERK,4100,0,121,50,Shipping,121,1500
186,Julia,Dellinger,JDELLING,650.509.3876,9/11/1987,SH_CLERK,3400,0,121,50,Shipping,121,1500
187,Anthony,Cabrio,ACABRIO,650.509.4876,9/12/1987,SH_CLERK,3000,0,121,50,Shipping,121,1500
188,Kelly,Chung,KCHUNG,650.505.1876,9/13/1987,SH_CLERK,3800,0,122,50,Shipping,121,1500
189,Jennifer,Dilly,JDILLY,650.505.2876,9/14/1987,SH_CLERK,3600,0,122,50,Shipping,121,1500
190,Timothy,Gates,TGATES,650.505.3876,9/15/1987,SH_CLERK,2900,0,122,50,Shipping,121,1500
191,Randall,Perkins,RPERKINS,650.505.4876,9/16/1987,SH_CLERK,2500,0,122,50,Shipping,121,1500
192,Sarah,Bell,SBELL,650.501.1876,9/17/1987,SH_CLERK,4000,0,123,50,Shipping,121,1500
